,locus_tag,name,location,old_locus_tag,product,note,start,end
980,ECB_RS04950,ssuB,[1010367:1011135](-),ECB_00937,aliphatic sulfonates ABC transporter ATP-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1011135,1010367
981,ECB_RS04955,ssuC,[1011131:1011923](-),ECB_00938,aliphatic sulfonate ABC transporter permease SsuC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1011923,1011131
982,ECB_RS04960,ssuD,[1011933:1013079](-),ECB_00939,FMNH2-dependent alkanesulfonate monooxygenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1013079,1011933
983,ECB_RS04965,,[1013075:1014035](-),ECB_00940,sulfonate ABC transporter substrate-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1014035,1013075
984,ECB_RS04970,ssuE,[1014027:1014603](-),ECB_00941,NADPH-dependent FMN reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1014603,1014027
985,ECB_RS04975,,[1014958:1015498](+),ECB_00942,fimbrial subunit ElfA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1014958,1015498
986,ECB_RS04980,,[1015580:1016282](+),ECB_00943,molecular chaperone,Derived by automated computational analysis using gene prediction method: Protein Homology.,1015580,1016282
987,ECB_RS04985,,[1016306:1018907](+),ECB_00944,fimbrial biogenesis usher protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1016306,1018907
988,ECB_RS04990,,[1018897:1019968](+),ECB_00945,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1018897,1019968
989,ECB_RS04995,,[1019979:1020522](+),ECB_00946,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1019979,1020522
990,ECB_RS05000,,[1020529:1021045](+),ECB_00947,type 1 fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1020529,1021045
991,ECB_RS05005,,[1021037:1021748](+),ECB_00948,fimbrial chaperone,Derived by automated computational analysis using gene prediction method: Protein Homology.,1021037,1021748
992,ECB_RS05010,pyrD,[1021858:1022869](+),ECB_00949,quinone-dependent dihydroorotate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1021858,1022869
993,ECB_RS05015,zapC,[1023042:1023585](+),ECB_00950,cell division protein ZapC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1023042,1023585
994,ECB_RS05020,ycbX,[1023581:1024691](-),ECB_00951,6-N-hydroxylaminopurine resistance protein YcbX,Derived by automated computational analysis using gene prediction method: Protein Homology.,1024691,1023581
995,ECB_RS05025,rlmKL,[1024934:1027043](+),ECB_00952,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,Derived by automated computational analysis using gene prediction method: Protein Homology.,1024934,1027043
996,ECB_RS05030,,[1027054:1028962](+),ECB_00953,ABC transporter ATP-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1027054,1028962
997,ECB_RS05035,pqiA,[1029091:1030345](+),ECB_00954,membrane integrity-associated transporter subunit PqiA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1029091,1030345
998,ECB_RS05040,pqiB,[1030349:1031990](+),ECB_00955,intermembrane transport protein PqiB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1030349,1031990
999,ECB_RS05045,pqiC,[1031986:1032550](+),ECB_00956,membrane integrity-associated transporter subunit PqiC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1031986,1032550
1000,ECB_RS05050,,[1032805:1032973](+),ECB_00957,ribosome modulation factor,Derived by automated computational analysis using gene prediction method: Protein Homology.,1032805,1032973
1001,ECB_RS05055,fabA,[1033042:1033561](-),ECB_00958,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1033561,1033042
1002,ECB_RS05060,,[1033629:1035390](-),ECB_00959,Lon protease family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1035390,1033629
1003,ECB_RS05065,matP,[1035575:1036028](+),ECB_00960,macrodomain Ter protein MatP,Derived by automated computational analysis using gene prediction method: Protein Homology.,1035575,1036028
1004,ECB_RS05070,ompA,[1036103:1037144](-),ECB_00961,porin OmpA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1037144,1036103
1005,ECB_RS05080,sulA,[1037500:1038010](-),ECB_00962,cell division inhibitor SulA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1038010,1037500
1006,ECB_RS05085,sxy,[1038228:1038858](+),ECB_00963,CRP-S regulon transcriptional coactivator Sxy,Derived by automated computational analysis using gene prediction method: Protein Homology.,1038228,1038858
1007,ECB_RS05090,yccS,[1038820:1040983](-),ECB_00964,TIGR01666 family membrane protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1040983,1038820
1008,ECB_RS05095,,[1040992:1041439](-),ECB_00965,YccF domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1041439,1040992
1009,ECB_RS05100,helD,[1041561:1043616](+),ECB_00966,DNA helicase IV,Derived by automated computational analysis using gene prediction method: Protein Homology.,1041561,1043616
1010,ECB_RS05105,mgsA,[1043647:1044106](-),ECB_00967,methylglyoxal synthase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1044106,1043647
1011,ECB_RS05110,,[1044201:1044864](-),ECB_00968,DUF2057 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1044864,1044201
1012,ECB_RS05120,,[1045036:1045450](+),ECB_00969,CoA-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1045036,1045450
1013,ECB_RS05125,hspQ,[1045494:1045812](-),ECB_00970,heat shock protein HspQ,Derived by automated computational analysis using gene prediction method: Protein Homology.,1045812,1045494
1014,ECB_RS05130,rlmI,[1045869:1047060](-),ECB_00971,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI,Derived by automated computational analysis using gene prediction method: Protein Homology.,1047060,1045869
1015,ECB_RS05135,,[1047154:1047433](+),ECB_00972,acylphosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1047154,1047433
1016,ECB_RS05140,tusE,[1047429:1047759](-),ECB_00973,sulfurtransferase TusE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1047759,1047429
1017,ECB_RS05145,yccA,[1047849:1048509](-),ECB_00974,FtsH protease modulator YccA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1048509,1047849
1018,ECB_RS05150,,[1048715:1048803](-),ECB_t00023,,,1048803,1048715
1019,ECB_RS05155,hyaA,[1049229:1050348](+),ECB_00975,hydrogenase 1 small subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,1049229,1050348
1020,ECB_RS05160,hyaB,[1050344:1052138](+),ECB_00976,Ni/Fe-hydrogenase large subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,1050344,1052138
1021,ECB_RS05165,hyaC,[1052156:1052864](+),ECB_00977,Ni/Fe-hydrogenase b-type cytochrome subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,1052156,1052864
1022,ECB_RS05170,,[1052860:1053448](+),ECB_00978,hydrogenase 1 maturation protease,Derived by automated computational analysis using gene prediction method: Protein Homology.,1052860,1053448
1023,ECB_RS05175,hyaE,[1053444:1053843](+),ECB_00979,hydrogenase-1 operon protein HyaE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1053444,1053843
1024,ECB_RS05180,,[1053839:1054697](+),ECB_00980,hydrogenase expression/formation protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1053839,1054697
1025,ECB_RS05185,appC,[1054830:1056375](+),ECB_00981,cytochrome bd-II oxidase subunit 1,Derived by automated computational analysis using gene prediction method: Protein Homology.,1054830,1056375
1026,ECB_RS05190,,[1056386:1057523](+),ECB_00982,cytochrome d ubiquinol oxidase subunit II,Derived by automated computational analysis using gene prediction method: Protein Homology.,1056386,1057523
1027,ECB_RS05195,cbdX,[1057535:1057628](+),,cytochrome bd-II oxidase subunit CbdX,Derived by automated computational analysis using gene prediction method: Protein Homology.,1057535,1057628
1028,ECB_RS05200,,[1057707:1059006](+),ECB_00983,AppA family phytase/histidine-type acid phosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1057707,1059006
1029,ECB_RS05205,,[1059120:1061301](-),ECB_00984,tyrosine-protein kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1061301,1059120
1030,ECB_RS05210,etp,[1061320:1061767](-),ECB_00985,protein-tyrosine-phosphatase Etp,Derived by automated computational analysis using gene prediction method: Protein Homology.,1061767,1061320
1031,ECB_RS05215,,[1061754:1062894](-),ECB_00986,polysaccharide export protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1062894,1061754
1032,ECB_RS05220,,[1062939:1065036](-),ECB_00987,YjbH domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1065036,1062939
1033,ECB_RS05225,,[1065035:1065782](-),ECB_00988,capsule biosynthesis GfcC family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1065782,1065035
1034,ECB_RS05230,,[1065778:1066423](-),ECB_00989,YjbF family lipoprotein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1066423,1065778
1035,ECB_RS05235,,[1066529:1066835](-),ECB_00990,threonine-rich inner membrane protein GfcA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1066835,1066529
1036,ECB_RS05240,cspH,[1067253:1067466](-),ECB_00991,cold shock-like protein CspH,Derived by automated computational analysis using gene prediction method: Protein Homology.,1067466,1067253
1037,ECB_RS05245,cspG,[1067751:1067964](+),ECB_00992,cold shock protein CspG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1067751,1067964
1038,ECB_RS23395,,[1067974:1068163](+),,cold-shock protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1067974,1068163
1039,ECB_RS05250,ymcE,[1068137:1068368](+),ECB_00993,protein YmcE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1068137,1068368
1040,ECB_RS05255,,[1068357:1068531](+),ECB_00994,"addiction module toxin, GnsA/GnsB family",Derived by automated computational analysis using gene prediction method: Protein Homology.,1068357,1068531
1041,ECB_RS05260,,[1068578:1069652](-),ECB_00995,4Fe-4S binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1069652,1068578
1042,ECB_RS05265,torS,[1069723:1072468](-),ECB_00996,TMAO reductase system sensor histidine kinase/response regulator TorS,Derived by automated computational analysis using gene prediction method: Protein Homology.,1072468,1069723
1043,ECB_RS05270,torT,[1072550:1073579](+),ECB_00997,TMAO reductase system periplasmic protein TorT,Derived by automated computational analysis using gene prediction method: Protein Homology.,1072550,1073579
1044,ECB_RS05275,torR,[1073551:1074244](-),ECB_00998,two-component system response regulator TorR,Derived by automated computational analysis using gene prediction method: Protein Homology.,1074244,1073551
1045,ECB_RS05280,torC,[1074373:1075546](+),ECB_00999,pentaheme c-type cytochrome TorC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1074373,1075546
1046,ECB_RS05285,torA,[1075545:1078092](+),ECB_01000,trimethylamine-N-oxide reductase TorA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1075545,1078092
1047,ECB_RS05290,torD,[1078088:1078688](+),ECB_01001,molecular chaperone TorD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1078088,1078688
1048,ECB_RS05295,cbpM,[1078839:1079145](-),ECB_01002,chaperone modulator CbpM,Derived by automated computational analysis using gene prediction method: Protein Homology.,1079145,1078839
1049,ECB_RS05300,cbpA,[1079144:1080065](-),ECB_01003,curved DNA-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1080065,1079144
1050,ECB_RS05305,,[1080325:1081585](+),ECB_01004,YccE family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1080325,1081585
1051,ECB_RS05310,,[1081867:1083109](+),ECB_01005,bifunctional glucose-1-phosphatase/inositol phosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1081867,1083109
1052,ECB_RS05315,,[1083146:1083374](-),ECB_01006,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1083374,1083146
1053,ECB_RS05320,wrbA,[1083394:1083991](-),ECB_01007,NAD(P)H:quinone oxidoreductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1083991,1083394
1054,ECB_RS05330,,[1084363:1084537](+),ECB_01008,general stress protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1084363,1084537
1055,ECB_RS05335,rutG,[1084794:1086123](-),ECB_01009,pyrimidine utilization transport protein G,Derived by automated computational analysis using gene prediction method: Protein Homology.,1086123,1084794
1056,ECB_RS05340,rutF,[1086143:1086638](-),ECB_01010,pyrimidine utilization flavin reductase protein F,Derived by automated computational analysis using gene prediction method: Protein Homology.,1086638,1086143
1057,ECB_RS05345,,[1086648:1087239](-),ECB_01011,malonic semialdehyde reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1087239,1086648
1058,ECB_RS05350,rutD,[1087248:1088049](-),ECB_01012,pyrimidine utilization protein D,Derived by automated computational analysis using gene prediction method: Protein Homology.,1088049,1087248
1059,ECB_RS05355,rutC,[1088056:1088443](-),ECB_01013,pyrimidine utilization protein C,Derived by automated computational analysis using gene prediction method: Protein Homology.,1088443,1088056
1060,ECB_RS05360,rutB,[1088454:1089147](-),ECB_01014,peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1089147,1088454
1061,ECB_RS05365,rutA,[1089146:1090238](-),ECB_01015,pyrimidine utilization protein A,Derived by automated computational analysis using gene prediction method: Protein Homology.,1090238,1089146
1062,ECB_RS05370,rutR,[1090525:1091164](+),ECB_01016,HTH-type transcriptional regulator RutR,Derived by automated computational analysis using gene prediction method: Protein Homology.,1090525,1091164
1063,ECB_RS05375,putA,[1091203:1095166](-),ECB_01017,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1095166,1091203
1064,ECB_RS05380,,[1095220:1095430](+),,hypothetical protein,Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.,1095220,1095430
1065,ECB_RS05385,putP,[1095588:1097097](+),ECB_01018,sodium/proline symporter PutP,Derived by automated computational analysis using gene prediction method: Protein Homology.,1095588,1097097
1066,ECB_RS05395,,[1097639:1098470](+),ECB_01019,FTR1 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1097639,1098470
1067,ECB_RS05400,,[1098527:1099655](+),ECB_01020,iron uptake system protein EfeO,Derived by automated computational analysis using gene prediction method: Protein Homology.,1098527,1099655
1068,ECB_RS05405,efeB,[1099660:1100932](+),ECB_01021,deferrochelatase/peroxidase EfeB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1099660,1100932
1069,ECB_RS05415,phoH,[1101276:1102341](+),,phosphate starvation-inducible protein PhoH,Derived by automated computational analysis using gene prediction method: Protein Homology.,1101276,1102341
1070,ECB_RS05420,pgaD,[1102390:1102804](-),ECB_01023,"poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Derived by automated computational analysis using gene prediction method: Protein Homology.,1102804,1102390
1071,ECB_RS05425,pgaC,[1102805:1104131](-),ECB_01024,"poly-beta-1,6 N-acetyl-D-glucosamine synthase",Derived by automated computational analysis using gene prediction method: Protein Homology.,1104131,1102805
1072,ECB_RS05430,pgaB,[1104123:1106142](-),ECB_01025,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB",Derived by automated computational analysis using gene prediction method: Protein Homology.,1106142,1104123
1073,ECB_RS05435,pgaA,[1106150:1108574](-),ECB_01026,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA",Derived by automated computational analysis using gene prediction method: Protein Homology.,1108574,1106150
1074,ECB_RS05440,,[1109160:1110519](+),ECB_01027,GGDEF domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1109160,1110519
1075,ECB_RS05445,,[1110559:1111722](-),ECB_01028,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1111722,1110559
1076,ECB_RS05460,,[1112132:1112220](-),ECB_t00024,,,1112220,1112132
1077,ECB_RS05465,ghrA,[1112454:1113393](+),ECB_01030,glyoxylate/hydroxypyruvate reductase GhrA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1112454,1113393
1078,ECB_RS05470,,[1113447:1114185](+),ECB_01031,phosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1113447,1114185
1079,ECB_RS05475,,[1114208:1114763](+),ECB_01032,molecular chaperone,Derived by automated computational analysis using gene prediction method: Protein Homology.,1114208,1114763
1080,ECB_RS05480,,[1114864:1115356](+),ECB_01033,DUF1097 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1114864,1115356
1081,ECB_RS05485,csgG,[1115419:1116253](-),ECB_01034,curli production assembly/transport protein CsgG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1116253,1115419
1082,ECB_RS05490,csgF,[1116279:1116696](-),ECB_01035,curli production assembly/transport protein CsgF,Derived by automated computational analysis using gene prediction method: Protein Homology.,1116696,1116279
1083,ECB_RS05495,csgE,[1116720:1117110](-),ECB_01036,curli production assembly/transport protein CsgE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1117110,1116720
1084,ECB_RS05500,csgD,[1117114:1117765](-),ECB_01037,transcriptional regulator CsgD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1117765,1117114
1085,ECB_RS05510,csgB,[1118519:1118975](+),ECB_01038,curlin minor subunit CsgB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1118519,1118975
1086,ECB_RS05515,,[1119015:1119471](+),ECB_01039,major curlin subunit CsgA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1119015,1119471
1087,ECB_RS05520,csgC,[1119529:1119862](+),ECB_01040,curli assembly protein CsgC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1119529,1119862
1088,ECB_RS05525,,[1119982:1120294](+),ECB_01041,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1119982,1120294
1089,ECB_RS05530,,[1120388:1120922](+),ECB_01042,O-acetyl-ADP-ribose deacetylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1120388,1120922
1090,ECB_RS05535,,[1120863:1122345](+),ECB_01043,phospholipase D family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1120863,1122345
1091,ECB_RS05540,mdoC,[1122352:1123510](-),ECB_01044,glucans biosynthesis protein MdoC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1123510,1122352
1092,ECB_RS05555,mdoG,[1123903:1125439](+),ECB_01045,glucans biosynthesis protein MdoG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1123903,1125439
1093,ECB_RS05560,mdoH,[1125431:1127975](+),ECB_01046,glucans biosynthesis glucosyltransferase MdoH,Derived by automated computational analysis using gene prediction method: Protein Homology.,1125431,1127975
1094,ECB_RS05565,,[1128147:1128375](+),ECB_01047,YceK/YidQ family lipoprotein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1128147,1128375
1095,ECB_RS05570,,[1128375:1128750](-),ECB_01048,acidic protein MsyB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1128750,1128375
1096,ECB_RS05580,mdtG,[1128832:1130059](-),ECB_01049,multidrug efflux MFS transporter MdtG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1130059,1128832
1097,ECB_RS05585,,[1130230:1131151](-),ECB_01050,LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferasee,Derived by automated computational analysis using gene prediction method: Protein Homology.,1131151,1130230
1098,ECB_RS05590,,[1131375:1132428](+),ECB_01051,rhodanese-related sulfurtransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1131375,1132428
1099,ECB_RS05595,,[1132469:1133045](-),ECB_01052,YceI family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1133045,1132469
1100,ECB_RS05600,,[1133048:1133615](-),ECB_01053,cytochrome b,Derived by automated computational analysis using gene prediction method: Protein Homology.,1133615,1133048
1101,ECB_RS05605,,[1133875:1134016](-),ECB_01054,DUF2770 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1134016,1133875
1102,ECB_RS05610,solA,[1134036:1135155](-),ECB_01055,N-methyl-L-tryptophan oxidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1135155,1134036
1103,ECB_RS05615,bssS,[1135269:1135524](-),ECB_01056,biofilm formation regulator BssS,Derived by automated computational analysis using gene prediction method: Protein Homology.,1135524,1135269
1104,ECB_RS05620,dinI,[1135813:1136059](-),ECB_01057,DNA damage-inducible protein I,Derived by automated computational analysis using gene prediction method: Protein Homology.,1136059,1135813
1105,ECB_RS05625,pyrC,[1136132:1137179](-),ECB_01058,dihydroorotase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1137179,1136132
1106,ECB_RS05630,,[1137284:1137845](-),ECB_01059,lipoprotein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1137845,1137284
1107,ECB_RS05635,grxB,[1137978:1138626](-),ECB_01060,glutaredoxin 2,Derived by automated computational analysis using gene prediction method: Protein Homology.,1138626,1137978
1108,ECB_RS05640,mdtH,[1138689:1139898](-),ECB_01061,multidrug efflux MFS transporter MdtH,Derived by automated computational analysis using gene prediction method: Protein Homology.,1139898,1138689
1109,ECB_RS05645,rimJ,[1140133:1140718](+),ECB_01062,ribosomal protein S5-alanine N-acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1140133,1140718
1110,ECB_RS05650,,[1140728:1141376](+),ECB_01063,YceH family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1140728,1141376
1111,ECB_RS05655,,[1141377:1142301](+),ECB_01064,Gfo/Idh/MocA family oxidoreductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1141377,1142301
1112,ECB_RS05660,murJ,[1142410:1143946](+),ECB_01065,murein biosynthesis integral membrane protein MurJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,1142410,1143946
1113,ECB_RS05665,flgN,[1143985:1144402](-),ECB_01066,flagella biosynthesis chaperone FlgN,Derived by automated computational analysis using gene prediction method: Protein Homology.,1144402,1143985
1114,ECB_RS05670,flgM,[1144406:1144700](-),ECB_01067,anti-sigma-28 factor FlgM,Derived by automated computational analysis using gene prediction method: Protein Homology.,1144700,1144406
1115,ECB_RS05675,flgA,[1144775:1145435](-),ECB_01068,flagellar basal body P-ring formation protein FlgA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1145435,1144775
1116,ECB_RS05680,flgB,[1145589:1146006](+),ECB_01069,flagellar basal body rod protein FlgB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1145589,1146006
1117,ECB_RS05685,flgC,[1146009:1146414](+),ECB_01070,flagellar basal body rod protein FlgC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1146009,1146414
1118,ECB_RS05690,flgD,[1146425:1147121](+),ECB_01071,flagellar hook assembly protein FlgD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1146425,1147121
1119,ECB_RS05695,,[1147145:1148351](+),ECB_01072,flagellar hook protein FlgE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1147145,1148351
1120,ECB_RS05700,,[1148370:1149126](+),ECB_01073,flagellar basal body rod protein FlgF,Derived by automated computational analysis using gene prediction method: Protein Homology.,1148370,1149126
1121,ECB_RS05705,,[1149297:1150080](+),ECB_01074,flagellar basal-body rod protein FlgG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1149297,1150080
1122,ECB_RS05710,flgH,[1150132:1150831](+),ECB_01075,flagellar basal body L-ring protein FlgH,Derived by automated computational analysis using gene prediction method: Protein Homology.,1150132,1150831
1123,ECB_RS05715,,[1150842:1151940](+),ECB_01076,flagellar basal body P-ring protein FlgI,Derived by automated computational analysis using gene prediction method: Protein Homology.,1150842,1151940
1124,ECB_RS05720,flgJ,[1151939:1152881](+),ECB_01077,flagellar assembly peptidoglycan hydrolase FlgJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,1151939,1152881
1125,ECB_RS05725,flgK,[1152946:1154590](+),ECB_01078,flagellar hook-associated protein FlgK,Derived by automated computational analysis using gene prediction method: Protein Homology.,1152946,1154590
1126,ECB_RS05730,flgL,[1154601:1155555](+),ECB_01079,flagellar hook-filament junction protein FlgL,Derived by automated computational analysis using gene prediction method: Protein Homology.,1154601,1155555
1127,ECB_RS05735,,[1155750:1158936](-),ECB_01080,ribonuclease E,Derived by automated computational analysis using gene prediction method: Protein Homology.,1158936,1155750
1128,ECB_RS05745,rluC,[1159508:1160468](+),ECB_01082,23S rRNA pseudouridine(955/2504/2580) synthase RluC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1159508,1160468
1129,ECB_RS05750,,[1160579:1161164](-),ECB_01083,septum formation inhibitor Maf,Derived by automated computational analysis using gene prediction method: Protein Homology.,1161164,1160579
1130,ECB_RS05755,yceD,[1161362:1161884](+),ECB_01084,23S rRNA accumulation protein YceD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1161362,1161884
1131,ECB_RS05760,rpmF,[1161935:1162109](+),ECB_01085,50S ribosomal protein L32,Derived by automated computational analysis using gene prediction method: Protein Homology.,1161935,1162109
1132,ECB_RS05765,plsX,[1162189:1163260](+),ECB_01086,phosphate acyltransferase PlsX,Derived by automated computational analysis using gene prediction method: Protein Homology.,1162189,1163260
1133,ECB_RS05770,,[1163327:1164281](+),ECB_01087,ketoacyl-ACP synthase III,Derived by automated computational analysis using gene prediction method: Protein Homology.,1163327,1164281
1134,ECB_RS05775,fabD,[1164296:1165226](+),ECB_01088,ACP S-malonyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1164296,1165226
1135,ECB_RS05780,fabG,[1165238:1165973](+),ECB_01089,3-oxoacyl-ACP reductase FabG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1165238,1165973
1136,ECB_RS05785,acpP,[1166183:1166420](+),ECB_01090,acyl carrier protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1166183,1166420
1137,ECB_RS05790,fabF,[1166507:1167749](+),ECB_01091,beta-ketoacyl-ACP synthase II,Derived by automated computational analysis using gene prediction method: Protein Homology.,1166507,1167749
1138,ECB_RS05795,pabC,[1167868:1168678](+),ECB_01092,aminodeoxychorismate lyase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1167868,1168678
1139,ECB_RS05800,yceG,[1168680:1169703](+),ECB_01093,cell division protein YceG,Derived by automated computational analysis using gene prediction method: Protein Homology.,1168680,1169703
1140,ECB_RS05805,,[1169692:1170334](+),ECB_01094,dTMP kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1169692,1170334
1141,ECB_RS05810,holB,[1170330:1171335](+),ECB_01095,DNA polymerase III subunit delta',Derived by automated computational analysis using gene prediction method: Protein Homology.,1170330,1171335
1142,ECB_RS05815,,[1171345:1172143](+),ECB_01096,metal-dependent hydrolase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1171345,1172143
1143,ECB_RS05820,ptsG,[1172437:1173871](+),ECB_01097,PTS glucose transporter subunit IIBC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1172437,1173871
1144,ECB_RS05825,fhuE,[1173930:1176120](-),ECB_01098,ferric-rhodotorulic acid/ferric-coprogen receptor FhuE,Derived by automated computational analysis using gene prediction method: Protein Homology.,1176120,1173930
1145,ECB_RS05830,hinT,[1176453:1176813](+),ECB_01099,purine nucleoside phosphoramidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1176453,1176813
1146,ECB_RS05835,,[1176815:1177193](+),ECB_01100,YcfL family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1176815,1177193
