,UNIQUE-ID,NAME,PRODUCT-NAME,SWISS-PROT-ID,REPLICON,START-BASE,END-BASE,SYNONYMS,SYNONYMS.1,SYNONYMS.2,SYNONYMS.3,GENE-CLASS,GENE-CLASS.1,GENE-CLASS.2,GENE-CLASS.3,ACCESSION-1,TRANSCRIPTION-DIRECTION,locus_tag,name,location,old_locus_tag,product,note,start,end,distance,overlap,ecocyc_gene_len,NCBI_gene_len
3927,GCQD-624,cueR,CueR transcriptional dual regulator,C6UBV2,CHROMOSOME-1,486161,486568,copR,ybbI,,,UNCLASSIFIED,,,,ECB_00438,+,ECB_RS02290,,[486160:486568](+),ECB_00438,HTH-type transcriptional regulator CueR,Derived by automated computational analysis using gene prediction method: Protein Homology.,486160,486568,1,407,407,408
3928,GCQD-3370,smg,conserved protein,C6UFN4,CHROMOSOME-1,3360369,3359896,,,,,,,,,ECB_03135,-,ECB_RS16605,,[3359895:3360369](-),ECB_03135,DUF494 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3360369,3359895,1,473,473,474
3963,GCQD-2583,bamC,Outer Membrane Protein Assembly Complex - BamC subunit,C6UB85,CHROMOSOME-1,2519693,2518659,dapX,nlpB,,,UNCLASSIFIED,,,,ECB_02369,-,ECB_RS12490,bamC,[2518658:2519693](-),ECB_02369,outer membrane protein assembly factor BamC,Derived by automated computational analysis using gene prediction method: Protein Homology.,2519693,2518658,1,1034,1034,1035
3964,GCQD-3253,yhbW,conserved protein,C6UEZ2,CHROMOSOME-1,3238682,3239689,,,,,,,,,ECB_03027,+,ECB_RS15990,,[3238681:3239689](+),ECB_03027,LLM class flavin-dependent oxidoreductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3238681,3239689,1,1007,1007,1008
3965,GCQD-3247,yhbP,conserved protein,C6UEY6,CHROMOSOME-1,3235149,3234706,,,,,,,,,ECB_03021,-,ECB_RS15960,,[3234705:3235149](-),ECB_03021,YhbP family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3235149,3234705,1,443,443,444
3999,GCQD-2563,eutD,phosphate acetyltransferase monomer,,CHROMOSOME-1,2494334,2493318,ypfA,eutI,,,UNCLASSIFIED,,,,ECB_02349,-,ECB_RS12380,pta,[2493317:2494334](-),ECB_02349,phosphate acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2494334,2493317,1,1016,1016,1017
4001,GCQD-3143,yqiI,protein involved in detoxification of methylglyoxal,C6UE99,CHROMOSOME-1,3123468,3124532,,,,,,,,,ECB_02918,+,ECB_RS15420,,[3123467:3124532](+),ECB_02918,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3123467,3124532,1,1064,1064,1065
4002,GCQD-2359,atoB,AtoB,C6ULN6,CHROMOSOME-1,2272809,2273993,,,,,UNCLASSIFIED,,,,ECB_02151,+,ECB_RS11335,,[2272808:2273993](+),ECB_02151,acetyl-CoA C-acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2272808,2273993,1,1184,1184,1185
4003,GCQD-2969,rpiA,ribose-5-phosphate isomerase A,C6UDE3,CHROMOSOME-1,2945076,2944417,ygfC,,,,UNCLASSIFIED,,,,ECB_02745,-,ECB_RS14515,rpiA,[2944416:2945076](-),ECB_02745,ribose-5-phosphate isomerase RpiA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2945076,2944416,1,659,659,660
4004,GCQD-3139,yqiC,conserved protein,C6UE95,CHROMOSOME-1,3119012,3119302,,,,,,,,,ECB_02914,+,ECB_RS15400,,[3119011:3119302](+),ECB_02914,accessory factor UbiK family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3119011,3119302,1,290,290,291
4005,GCQD-3136,ygiD,predicted dioxygenase,C6UE92,CHROMOSOME-1,3116606,3115791,,,,,,,,,ECB_02911,-,ECB_RS15380,ygiD,[3115790:3116606](-),ECB_02911,"4,5-DOPA dioxygenase extradiol",Derived by automated computational analysis using gene prediction method: Protein Homology.,3116606,3115790,1,815,815,816
4006,GCQD-2777,srlD,SrlD,C6UC54,CHROMOSOME-1,2722596,2723375,gutD,,,,UNCLASSIFIED,,,,ECB_02555,+,ECB_RS13510,srlD,[2722595:2723375](+),ECB_02555,sorbitol-6-phosphate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2722595,2723375,1,779,779,780
4007,GCQD-3396,rplN,50S ribosomal protein L14,C6UFR0,CHROMOSOME-1,3376054,3375683,,,,,UNCLASSIFIED,,,,ECB_03161,-,ECB_RS16735,rplN,[3375682:3376054](-),ECB_03161,50S ribosomal protein L14,Derived by automated computational analysis using gene prediction method: Protein Homology.,3376054,3375682,1,371,371,372
4008,GCQD-3135,ygiC,predicted enzyme with ATPase activity,C6UE91,CHROMOSOME-1,3114593,3115753,,,,,,,,,ECB_02910,+,ECB_RS15375,,[3114592:3115753](+),ECB_02910,glutathionylspermidine synthase family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3114592,3115753,1,1160,1160,1161
4010,GCQD-3201,yhaK,bicupin-related protein,C6UEF6,CHROMOSOME-1,3187352,3188053,,,,,UNCLASSIFIED,,,,ECB_02975,+,ECB_RS15730,,[3187351:3188053](+),ECB_02975,pirin family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3187351,3188053,1,701,701,702
4011,GCQD-1142,elfD,predicted periplasmic pilin chaperone,,CHROMOSOME-1,1015581,1016282,ycbR,,,,UNCLASSIFIED,,,,ECB_00943,+,ECB_RS04980,,[1015580:1016282](+),ECB_00943,molecular chaperone,Derived by automated computational analysis using gene prediction method: Protein Homology.,1015580,1016282,1,701,701,702
4013,GCQD-3130,yqiB,predicted dehydrogenase,C6UE86,CHROMOSOME-1,3111452,3111030,yzzH,,,,,,,,ECB_02905,-,ECB_RS15350,,[3111029:3111452](-),ECB_02905,DUF1249 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3111452,3111029,1,422,422,423
4014,GCQD-3600,yhjA,predicted cytochrome C peroxidase,C6UGP4,CHROMOSOME-1,3598679,3597282,,,,,UNCLASSIFIED,,,,ECB_03366,-,ECB_RS17815,,[3597281:3598679](-),ECB_03366,cytochrome c peroxidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3598679,3597281,1,1397,1397,1398
4015,GCQD-3811,dgoK,2-oxo-3-deoxygalactonate kinase,C6UI15,CHROMOSOME-1,3834835,3833957,yidV,,,,UNCLASSIFIED,,,,ECB_03577,-,ECB_RS18915,,[3833956:3834835](-),ECB_03577,2-dehydro-3-deoxygalactonokinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3834835,3833956,1,878,878,879
4016,GCQD-3121,ygiW,stress-induced protein,C6UE77,CHROMOSOME-1,3103848,3103456,visP,,,,,,,,ECB_02896,-,ECB_RS15305,ygiW,[3103455:3103848](-),ECB_02896,OB fold stress tolerance protein YgiW,Derived by automated computational analysis using gene prediction method: Protein Homology.,3103848,3103455,1,392,392,393
4017,GCQD-3113,ygiQ,conserved protein,C6UE69,CHROMOSOME-1,3095318,3093099,ygiR,b3016 (obsolete),b3015 (obsolete),,,,,,ECB_02888,-,ECB_RS15265,,[3093098:3095318](-),ECB_02888,YgiQ family radical SAM protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3095318,3093098,1,2219,2219,2220
4018,GCQD-4035,ECB_03786,putative glycoporin,C6UJ04,CHROMOSOME-1,4071447,4072841,,,,,UNCLASSIFIED,,,,ECB_03786,+,ECB_RS20070,,[4071446:4072841](+),ECB_03786,glycoporin,Derived by automated computational analysis using gene prediction method: Protein Homology.,4071446,4072841,1,1394,1394,1395
4019,GCQD-4230,phnK,predicted carbon-phosphorous lyase subunit,C6UK95,CHROMOSOME-1,4297586,4296828,,,,,UNCLASSIFIED,,,,ECB_03969,-,ECB_RS21115,phnK,[4296827:4297586](-),ECB_03969,phosphonate C-P lyase system protein PhnK,Derived by automated computational analysis using gene prediction method: Protein Homology.,4297586,4296827,1,758,758,759
4020,GCQD-3111,yqhG,conserved protein,C6UE67,CHROMOSOME-1,3091822,3092748,yqhF,,,,,,,,ECB_02886,+,ECB_RS15255,,[3091821:3092748](+),ECB_02886,YbjP/YqhG family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3091821,3092748,1,926,926,927
4021,GCQD-3102,yqhA,conserved inner membrane protein,C6UE58,CHROMOSOME-1,3083643,3083149,,,,,,,,,ECB_02877,-,ECB_RS15200,,[3083148:3083643](-),ECB_02877,TIGR00645 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3083643,3083148,1,494,494,495
4022,GCQD-1883,pheS,phenylalanyl-tRNA synthetase &alpha;-chain,C6UJ30,CHROMOSOME-1,1776209,1775226,phe-act,,,,UNCLASSIFIED,,,,ECB_01683,-,ECB_RS08885,pheS,[1775225:1776209](-),ECB_01683,phenylalanine--tRNA ligase subunit alpha,Derived by automated computational analysis using gene prediction method: Protein Homology.,1776209,1775225,1,983,983,984
4023,GCQD-2119,yeeA,conserved inner membrane protein,C6UK27,CHROMOSOME-1,2011034,2009976,,,,,UNCLASSIFIED,,,,ECB_01911,-,ECB_RS10150,,[2009975:2011034](-),ECB_01911,FUSC family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2011034,2009975,1,1058,1058,1059
4024,GCQD-3099,yghW,orf,C6UE55,CHROMOSOME-1,3080906,3080619,,,,,,,,,ECB_02874,-,ECB_RS15185,,[3080618:3080906](-),ECB_02874,DUF2623 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3080906,3080618,1,287,287,288
4025,GCQD-3087,yghT,predicted protein with nucleoside triphosphate hydrolase domain,C6UDQ8,CHROMOSOME-1,3068218,3068910,,,,,,,,,ECB_02862,+,ECB_RS15115,,[3068217:3068910](+),ECB_02862,thymidylate kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3068217,3068910,1,692,692,693
4026,GCQD-4455,uxuR,UxuR DNA-binding transcriptional repressor,C6UL95,CHROMOSOME-1,4535490,4536263,,,,,UNCLASSIFIED,,,,ECB_04193,+,ECB_RS22340,uxuR,[4535489:4536263](+),ECB_04193,Uxu operon transcriptional regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,4535489,4536263,1,773,773,774
4027,GCQD-569,cyoA,cytochrome <i>bo</i> terminal oxidase subunit II,C6UBP7,CHROMOSOME-1,422313,421366,,,,,UNCLASSIFIED,,,,ECB_00383,-,ECB_RS02005,,[421365:422313](-),ECB_00383,cytochrome o ubiquinol oxidase subunit II,Derived by automated computational analysis using gene prediction method: Protein Homology.,422313,421365,1,947,947,948
4028,GCQD-3086,yghS,predicted protein with nucleoside triphosphate hydrolase domain,C6UDQ7,CHROMOSOME-1,3068044,3067331,,,,,,,,,ECB_02861,-,ECB_RS15110,,[3067330:3068044](-),ECB_02861,thymidylate kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3068044,3067330,1,713,713,714
4029,GCQD-3085,yghR,predicted protein with nucleoside triphosphate hydrolase domain,C6UDQ6,CHROMOSOME-1,3067299,3066541,,,,,,,,,ECB_02860,-,ECB_RS15105,,[3066540:3067299](-),ECB_02860,ATP-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3067299,3066540,1,758,758,759
4000,GCQD-3146,yqiK,conserved protein,C6UEA2,CHROMOSOME-1,3125700,3127361,,,,,,,,,ECB_02921,+,ECB_RS15435,,[3125699:3127361](+),ECB_02921,flotillin family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3125699,3127361,1,1661,1661,1662
3998,GCQD-4473,mcrC,MrcC subunit of 5-methylcytosine restriction system,C6ULV7,CHROMOSOME-1,4555903,4554857,,,,,UNCLASSIFIED,,,,ECB_04211,-,ECB_RS22440,mcrC,[4554856:4555903](-),ECB_04211,5-methylcytosine-specific restriction endonuclease system specificity protein McrC,Derived by automated computational analysis using gene prediction method: Protein Homology.,4555903,4554856,1,1046,1046,1047
3966,GCQD-1438,trpD,anthranilate synthase component II,C6UGC6,CHROMOSOME-1,1318978,1317383,trpGD,,,,UNCLASSIFIED,,,,ECB_01237,-,ECB_RS06565,trpD,[1317382:1318978](-),ECB_01237,bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1318978,1317382,1,1595,1595,1596
3997,GCQD-3169,ygjH,putative tRNA synthetase,C6UEC4,CHROMOSOME-1,3154064,3153732,,,,,,,,,ECB_02943,-,ECB_RS15565,,[3153731:3154064](-),ECB_02943,tRNA-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3154064,3153731,1,332,332,333
3967,GCQD-2985,yggF,"fructose-1,6-bisphosphatase",C6UDF9,CHROMOSOME-1,2961933,2960968,yggK,,,,UNCLASSIFIED,,,,ECB_02761,-,ECB_RS14595,,[2960967:2961933](-),ECB_02761,class II fructose-bisphosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2961933,2960967,1,965,965,966
3968,GCQD-3243,yraP,lipoprotein,C6UEY2,CHROMOSOME-1,3231643,3232218,ecfH,,,,,,,,ECB_03017,+,ECB_RS15940,yraP,[3231642:3232218](+),ECB_03017,divisome-associated lipoprotein YraP,Derived by automated computational analysis using gene prediction method: Protein Homology.,3231642,3232218,1,575,575,576
3969,GCQD-3241,yraN,conserved protein,C6UEY0,CHROMOSOME-1,3230628,3231023,,,,,,,,,ECB_03015,+,ECB_RS15930,,[3230627:3231023](+),ECB_03015,YraN family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3230627,3231023,1,395,395,396
3970,GCQD-4069,priA,primosome factor N',C6UJH3,CHROMOSOME-1,4106293,4104095,srgA,,,,UNCLASSIFIED,,,,ECB_03820,-,ECB_RS20255,priA,[4104094:4106293](-),ECB_03820,primosomal protein N',Derived by automated computational analysis using gene prediction method: Protein Homology.,4106293,4104094,1,2198,2198,2199
3971,GCQD-3411,gspD,putative protein secretion protein for export,C6UFS5,CHROMOSOME-1,3384282,3386234,yheF,,,,UNCLASSIFIED,,,,ECB_03176,+,ECB_RS16810,gspD,[3384281:3386234](+),ECB_03176,type II secretion system secretin GspD,Derived by automated computational analysis using gene prediction method: Protein Homology.,3384281,3386234,1,1952,1952,1953
3972,GCQD-3240,lpoA,outer membrane lipoprotein - activator of PBP1A activity,C6UEX9,CHROMOSOME-1,3228634,3230670,yraM,,,,,,,,ECB_03014,+,ECB_RS15925,,[3228633:3230670](+),ECB_03014,penicillin-binding protein activator,Derived by automated computational analysis using gene prediction method: Protein Homology.,3228633,3230670,1,2036,2036,2037
3974,GCQD-4489,hpaF,5-carboxymethyl-2-hydroxymuconate delta-isomerase,C6ULX3,CHROMOSOME-1,4576440,4576060,,,,,UNCLASSIFIED,,,,ECB_04227,-,ECB_RS22525,,[4576059:4576440](-),ECB_04227,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4576440,4576059,1,380,380,381
3975,GCQD-1161,sulA,SOS cell division inhibitor,C6UEU3,CHROMOSOME-1,1038010,1037501,sfiA,suf,,,UNCLASSIFIED,,,,ECB_00962,-,ECB_RS05080,sulA,[1037500:1038010](-),ECB_00962,cell division inhibitor SulA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1038010,1037500,1,509,509,510
3976,GCQD-3214,yhaC,predicted protein,C6UEG9,CHROMOSOME-1,3201449,3202552,,,,,,,,,ECB_02988,+,ECB_RS15795,,[3201448:3202552](+),ECB_02988,YhaC family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3201448,3202552,1,1103,1103,1104
3977,GCQD-3213,yhaB,predicted protein,C6UEG8,CHROMOSOME-1,3200888,3201427,,,,,,,,,ECB_02987,+,ECB_RS15790,,[3200887:3201427](+),ECB_02987,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3200887,3201427,1,539,539,540
3978,GCQD-867,ybgO,predicted fimbrial-like adhesin protein,C6UD88,CHROMOSOME-1,729767,728706,,,,,UNCLASSIFIED,,,,ECB_00676,-,ECB_RS03560,,[728705:729767](-),ECB_00676,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,729767,728705,1,1061,1061,1062
3980,GCQD-3206,tdcF,predicted enamine/imine deaminase,C6UEG1,CHROMOSOME-1,3193144,3192755,yhaR,,,,,,,,ECB_02980,-,ECB_RS15755,,[3192754:3193144](-),ECB_02980,enamine/imine deaminase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3193144,3192754,1,389,389,390
3981,GCQD-3203,yhaM,conserved protein,C6UEF8,CHROMOSOME-1,3189684,3188374,b3109 (obsolete),yhaN,b3108 (obsolete),,,,,,ECB_02977,-,ECB_RS15740,,[3188373:3189684](-),ECB_02977,serine dehydratase subunit alpha family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3189684,3188373,1,1310,1310,1311
3982,GCQD-2791,hycG,"hydrogenase 3 and formate hydrogenlyase complex, HycG subunit",C6UC68,CHROMOSOME-1,2739070,2738303,hevG,,,,UNCLASSIFIED,,,,ECB_02569,-,ECB_RS13580,hycG,[2738302:2739070](-),ECB_02569,formate hydrogenlyase subunit HycG,Derived by automated computational analysis using gene prediction method: Protein Homology.,2739070,2738302,1,767,767,768
3983,GCQD-1646,ddpX,D-Ala-D-Ala dipeptidase,C6UHP6,CHROMOSOME-1,1537014,1536433,vanX,yddT,,,UNCLASSIFIED,,,,ECB_01446,-,ECB_RS07665,ddpX,[1536432:1537014](-),ECB_01446,D-alanyl-D-alanine dipeptidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1537014,1536432,1,581,581,582
3984,GCQD-3202,yhaL,predicted protein,C6UEF7,CHROMOSOME-1,3188076,3188240,,,,,,,,,ECB_02976,+,ECB_RS15735,,[3188075:3188240](+),ECB_02976,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3188075,3188240,1,164,164,165
3985,GCQD-3195,yqjK,conserved protein,C6UEF0,CHROMOSOME-1,3183111,3183410,,,,,,,,,ECB_02969,+,ECB_RS15700,,[3183110:3183410](+),ECB_02969,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3183110,3183410,1,299,299,300
3986,GCQD-3220,prlF,PrlF antitoxin,,CHROMOSOME-1,3209930,3210265,sohA,prlFA,,,UNCLASSIFIED,,,,ECB_02994,+,ECB_RS15825,,[3209929:3210265](+),ECB_02994,type II toxin-antitoxin system PrlF family antitoxin,Derived by automated computational analysis using gene prediction method: Protein Homology.,3209929,3210265,1,335,335,336
3988,GCQD-3193,yqjD,inner membrane protein associated with the ribosome,C6UEE8,CHROMOSOME-1,3182409,3182714,,,,,,,,,ECB_02967,+,ECB_RS15690,,[3182408:3182714](+),ECB_02967,DUF883 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3182408,3182714,1,305,305,306
3989,GCQD-3192,yqjC,conserved protein,C6UEE7,CHROMOSOME-1,3182003,3182371,,,,,,,,,ECB_02966,+,ECB_RS15685,,[3182002:3182371](+),ECB_02966,DUF1090 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3182002,3182371,1,368,368,369
3990,GCQD-3615,bcsA,"cellulose synthase, catalytic subunit",C6UGQ9,CHROMOSOME-1,3624728,3622110,yhjP,yhjO,,,UNCLASSIFIED,,,,ECB_03381,-,ECB_RS17895,bcsA,[3622109:3624728](-),ECB_03381,UDP-forming cellulose synthase catalytic subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,3624728,3622109,1,2618,2618,2619
3991,GCQD-2134,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,C6UK42,CHROMOSOME-1,2025127,2025864,,,,,UNCLASSIFIED,,,,ECB_01926,+,ECB_RS10220,hisA,[2025126:2025864](+),ECB_01926,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2025126,2025864,1,737,737,738
3992,GCQD-3191,mzrA,MzrA,C6UEE6,CHROMOSOME-1,3181473,3181856,ecfM,yqjB,,,,,,,ECB_02965,+,ECB_RS15680,mzrA,[3181472:3181856](+),ECB_02965,EnvZ/OmpR regulon moderator MzrA,Derived by automated computational analysis using gene prediction method: Protein Homology.,3181472,3181856,1,383,383,384
3993,GCQD-3178,higB,"translation-dependent mRNA interferase, toxin of the HigB-HigA toxin-antitoxin system",C6UED3,CHROMOSOME-1,3167272,3166958,ygjN,,,,,,,,ECB_02952,-,ECB_RS15610,,[3166957:3167272](-),ECB_02952,mRNA interferase HigB,Derived by automated computational analysis using gene prediction method: Protein Homology.,3167272,3166957,1,314,314,315
3994,GCQD-1906,chbC,chitobiose PTS permease - ChbC subunit,,CHROMOSOME-1,1798479,1797121,celB,hic,,,UNCLASSIFIED,,,,ECB_01706,-,ECB_RS09000,chbC,[1797120:1798479](-),ECB_01706,"PTS N,N'-diacetylchitobiose transporter subunit IIC",Derived by automated computational analysis using gene prediction method: Protein Homology.,1798479,1797120,1,1358,1358,1359
3995,GCQD-588,glnK,GlnK,C6UBR6,CHROMOSOME-1,444665,445003,ybaI,,,,UNCLASSIFIED,,,,ECB_00402,+,ECB_RS02105,glnK,[444664:445003](+),ECB_00402,P-II family nitrogen regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,444664,445003,1,338,338,339
3996,GCQD-3174,ygjJ,conserved protein,C6UEC9,CHROMOSOME-1,3160618,3161688,,,,,,,,,ECB_02948,+,ECB_RS15590,ygjJ,[3160617:3161688](+),ECB_02948,protein YgjJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,3160617,3161688,1,1070,1070,1071
3900,GCQD-3479,hofO,protein involved in utilization of DNA as a carbon source,,CHROMOSOME-1,3450131,3449691,yrfB,,,,,,,,ECB_03245,-,ECB_RS17165,hofO,[3449690:3450131](-),ECB_03245,DNA utilization protein HofO,Derived by automated computational analysis using gene prediction method: Protein Homology.,3450131,3449690,1,440,440,441
3898,GCQD-1476,puuR,PuuR DNA-binding transcriptional repressor,C6UGU7,CHROMOSOME-1,1360279,1360836,ycjC,,,,UNCLASSIFIED,,,,ECB_01276,+,ECB_RS06790,puuR,[1360278:1360836](+),ECB_01276,HTH-type transcriptional regulator PuuR,Derived by automated computational analysis using gene prediction method: Protein Homology.,1360278,1360836,1,557,557,558
4031,GCQD-2549,amiA,N-acetylmuramoyl-L-alanine amidase 1,C6UMT4,CHROMOSOME-1,2479871,2480740,yfeE,,,,UNCLASSIFIED,,,,ECB_02335,+,ECB_RS12310,amiA,[2479870:2480740](+),ECB_02335,N-acetylmuramoyl-L-alanine amidase AmiA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2479870,2480740,1,869,869,870
3808,GCQD-3753,ECB_03518,orf,C6UHH7,CHROMOSOME-1,3778439,3778669,,,,,,,,,ECB_03518,+,ECB_RS24350,,[3778438:3778669](+),ECB_03518,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3778438,3778669,1,230,230,231
3788,GCQD-3768,ECB_03534,orf,C6UHJ1,CHROMOSOME-1,3792744,3792598,,,,,,,,,ECB_03534,-,ECB_RS24365,,[3792597:3792744](-),ECB_03534,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3792744,3792597,1,146,146,147
3790,GCQD-2052,cheZ,CheZ,C6UJX1,CHROMOSOME-1,1945807,1945163,,,,,UNCLASSIFIED,,,,ECB_01852,-,ECB_RS09790,cheZ,[1945162:1945807](-),ECB_01852,protein phosphatase CheZ,Derived by automated computational analysis using gene prediction method: Protein Homology.,1945807,1945162,1,644,644,645
3791,GCQD-1787,malI,MalI DNA-binding transcriptional repressor,C6UIG0,CHROMOSOME-1,1676374,1675346,,,,,UNCLASSIFIED,,,,ECB_01589,-,ECB_RS08390,,[1675345:1676374](-),ECB_01589,Mal regulon transcriptional regulator MalI,Derived by automated computational analysis using gene prediction method: Protein Homology.,1676374,1675345,1,1028,1028,1029
3793,GCQD-3765,ECB_03531,orf,C6UHI8,CHROMOSOME-1,3788241,3791738,,,,,,,,,ECB_03531,+,ECB_RS18660,,[3788240:3791738](+),ECB_03531,autotransporter outer membrane beta-barrel domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3788240,3791738,1,3497,3497,3498
3794,GCQD-511,yaiW,surface exposed outer membrane lipoprotein,C6UB55,CHROMOSOME-1,365518,366612,,,,,UNCLASSIFIED,,,,ECB_00325,+,ECB_RS01705,yaiW,[365517:366612](+),ECB_00325,surface-exposed outer membrane lipoprotein YaiW,Derived by automated computational analysis using gene prediction method: Protein Homology.,365517,366612,1,1094,1094,1095
3795,GCQD-4358,ppa,Ppa,C6UL05,CHROMOSOME-1,4432902,4432372,,,,,UNCLASSIFIED,,,,ECB_04095,-,ECB_RS21790,,[4432371:4432902](-),ECB_04095,inorganic diphosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4432902,4432371,1,530,530,531
3796,GCQD-3764,ECB_03530,orf,C6UHI7,CHROMOSOME-1,3788213,3787959,,,,,,,,,ECB_03530,-,ECB_RS24360,,[3787958:3788213](-),ECB_03530,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3788213,3787958,1,254,254,255
3797,GCQD-3762,ECB_03527,orf,C6UHI6,CHROMOSOME-1,3787090,3787392,,,,,,,,,ECB_03527,+,ECB_RS24355,,[3787089:3787392](+),ECB_03527,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3787089,3787392,1,302,302,303
3798,GCQD-2492,frc,formyl-CoA transferase monomer,C6UMN3,CHROMOSOME-1,2427481,2426231,yfdW,,,,UNCLASSIFIED,,,,ECB_02284,-,ECB_RS12015,,[2426230:2427481](-),ECB_02284,formyl-CoA transferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2427481,2426230,1,1250,1250,1251
3799,GCQD-2250,mrp,putative ATPase,C6UKT9,CHROMOSOME-1,2145365,2144256,apbC,,,,UNCLASSIFIED,,,,ECB_02043,-,ECB_RS10770,apbC,[2144255:2145365](-),ECB_02043,iron-sulfur cluster carrier protein ApbC,Derived by automated computational analysis using gene prediction method: Protein Homology.,2145365,2144255,1,1109,1109,1110
3802,GCQD-2898,thyA,thymidylate synthase,C6UCV3,CHROMOSOME-1,2859775,2858981,,,,,UNCLASSIFIED,,,,ECB_02675,-,ECB_RS14140,thyA,[2858980:2859775](-),ECB_02675,thymidylate synthase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2859775,2858980,1,794,794,795
3803,GCQD-711,yhhI-2,putative transposase,C6UCG2,CHROMOSOME-1,569936,568800,,,,,UNCLASSIFIED,,,,ECB_00525,-,ECB_RS02750,,[568799:569936](-),ECB_00525,ISAs1 family transposase,Derived by automated computational analysis using gene prediction method: Protein Homology.,569936,568799,1,1136,1136,1137
3806,GCQD-3323,degS,DegS serine endoprotease,C6UF60,CHROMOSOME-1,3310098,3311165,hhoB,htrH,,,UNCLASSIFIED,,,,ECB_03095,+,ECB_RS16345,degS,[3310097:3311165](+),ECB_03095,outer membrane-stress sensor serine endopeptidase DegS,Derived by automated computational analysis using gene prediction method: Protein Homology.,3310097,3311165,1,1067,1067,1068
3809,GCQD-3747,yicH,conserved protein,C6UHH2,CHROMOSOME-1,3769499,3771208,,,,,,,,,ECB_03513,+,ECB_RS18590,,[3769498:3771208](+),ECB_03513,AsmA family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3769498,3771208,1,1709,1709,1710
